timestamp,vehicle_id,rsu_id,x,y,z,speed,acceleration,heading_rad,road_id,rxPower_dbm,sinr_db,txPower_mw,txPowerSource,neighborCount,nearestRSU,packetsSent,packetsReceived,pdr,distance_to_rsu_m,signal_age_ms,cqi,mcs,rsrp_dbm,rsrq_db,connection_type,cbr,throughput_kbps,interference_dbm
78.2,node[10],9,8838.8485,4870.3923,1.8950,13.9053,139.0528,-2.0722,-21160191#0,-81.3934,-5.0000,100.0000,default,3,rsu(916m),1,5,0.0180,916,22.0607,2,2,-81.3934,-98.3831,direct,0.0000,0.0051,-88.8109
78.3,node[10],9,8838.1809,4871.6102,1.8950,13.8882,-0.1710,-2.0722,-21160191#0,-83.5004,-5.0000,100.0000,default,3,rsu(916m),2,10,0.0180,916,22.0621,2,2,-83.5004,-100.4901,direct,0.0000,0.0051,-88.8108
78.4,node[10],9,8837.5153,4872.8245,1.8950,13.8479,-0.4030,-2.0722,-21160191#0,-82.2205,-3.4800,100.0000,default,3,rsu(916m),3,15,0.0377,916,22.0634,2,2,-82.2205,-99.2102,direct,0.0000,4.0000,-88.8108
78.5,node[10],9,8836.8500,4874.0382,1.8950,13.8402,-0.0764,-2.0722,-21160191#0,-85.4034,-5.0000,100.0000,default,3,rsu(916m),4,20,0.0180,916,22.0647,2,2,-85.4034,-102.3931,direct,0.0000,4.0000,-88.8108
78.6,node[10],9,8836.1873,4875.2472,1.8950,13.7865,-0.5369,-2.0722,-21160191#0,-83.7792,-5.0000,100.0000,default,3,rsu(916m),5,25,0.0180,916,22.0661,2,2,-83.7792,-100.7689,direct,0.0000,4.0000,-88.8108
78.7,node[10],9,8835.5207,4876.4633,1.8950,13.8680,0.8147,-2.0722,-21160191#0,-92.5580,-5.0000,100.0000,default,3,rsu(916m),6,29,0.0180,916,22.0674,2,2,-92.5580,-109.5477,direct,0.0000,4.0000,-88.8107
78.8,node[10],9,8834.8534,4877.6805,1.8950,13.8807,0.1270,-2.0722,-21160191#0,-87.7667,-5.0000,100.0000,default,3,rsu(916m),7,33,0.0180,916,22.0687,2,2,-87.7667,-104.7564,direct,0.0000,3.2000,-88.8107
78.9,node[10],9,8834.1864,4878.8974,1.8950,13.8766,-0.0412,-2.0722,-21160191#0,-88.6200,-5.0000,100.0000,default,3,rsu(916m),8,37,0.0180,916,22.0700,2,2,-88.6200,-105.6097,direct,0.0000,3.2000,-88.8107
79,node[10],9,8833.5183,4880.1162,1.8950,13.8997,0.2308,-2.0722,-21160191#0,-79.2444,-3.0977,100.0000,default,3,rsu(916m),9,41,0.0453,916,22.0713,2,2,-79.2444,-96.2341,direct,0.0000,3.2000,-88.8107
79.1,node[10],9,8832.8530,4881.3299,1.8950,13.8400,-0.5967,-2.0722,-21160191#0,-81.4340,-3.3380,100.0000,default,3,rsu(916m),10,45,0.0403,916,22.0596,2,2,-81.4340,-98.4237,direct,0.0000,3.2000,-88.8107
79.2,node[10],9,8832.1867,4882.5455,1.8950,13.8622,0.2219,-2.0722,-21160191#0,-87.3427,-5.0000,100.0000,default,3,rsu(915m),11,49,0.0180,915,22.0609,2,2,-87.3427,-104.3324,direct,0.0000,3.2000,-88.8106
