timestamp,vehicle_id,rsu_id,x,y,z,speed,acceleration,heading_rad,road_id,rxPower_dbm,sinr_db,txPower_mw,txPowerSource,neighborCount,nearestRSU,packetsSent,packetsReceived,pdr,distance_to_rsu_m,signal_age_ms,cqi,mcs,rsrp_dbm,rsrq_db,connection_type,cbr,throughput_kbps,interference_dbm
208.2,node[25],0,5979.3567,2835.1695,1.8950,14.4560,144.5598,2.6448,-21150123#3,-68.9914,5.8550,100.0000,default,16,rsu(166m),1,36,0.8065,166,2.0188,7,12,-68.9914,-85.9811,direct,0.1000,0.0138,-85.5753
208.3,node[25],0,5978.0885,2834.4820,1.8950,14.4265,-0.2952,2.6448,-21150123#3,-66.1216,12.9813,100.0000,default,16,rsu(166m),2,72,0.9932,166,2.0214,10,18,-66.1216,-83.1113,direct,0.1000,0.0138,-85.5934
208.4,node[25],0,5976.8226,2833.7958,1.8950,14.4010,-0.2547,2.6448,-21150123#3,-68.7373,8.4557,100.0000,default,16,rsu(167m),3,108,0.9387,167,2.0239,8,14,-68.7373,-85.7270,direct,0.1000,28.8000,-85.6115
208.5,node[25],0,5975.5628,2833.1128,1.8950,14.3315,-0.6952,2.6448,-21150123#3,-73.4494,2.4461,100.0000,default,16,rsu(168m),4,144,0.4312,168,2.0135,5,8,-73.4494,-90.4391,direct,0.1000,28.8000,-85.6294
208.6,node[25],0,5974.2955,2832.4257,1.8950,14.4165,0.8498,2.6448,-21150123#3,-73.5301,1.8433,100.0000,default,16,rsu(169m),5,180,0.3593,169,2.0162,5,8,-73.5301,-90.5198,direct,0.1000,28.8000,-85.6474
208.7,node[25],0,5973.0308,2831.7401,1.8950,14.3867,-0.2973,2.6448,-21150123#3,-67.4212,6.9301,100.0000,default,16,rsu(170m),6,215,0.8771,170,2.0188,7,12,-67.4212,-84.4109,direct,0.1000,28.8000,-85.6653
208.8,node[25],0,5971.7603,2831.0514,1.8950,14.4521,0.6539,2.6448,-21150123#3,-69.4210,5.3914,100.0000,default,16,rsu(171m),7,250,0.7678,171,2.0214,7,12,-69.4210,-86.4107,direct,0.1000,28.0000,-85.6833
208.9,node[25],0,5970.5001,2830.3682,1.8950,14.3362,-1.1591,2.6448,-21150123#3,-75.5214,0.4017,100.0000,default,16,rsu(172m),8,286,0.2143,172,2.0240,4,6,-75.5214,-92.5111,direct,0.1000,28.0000,-85.7010
209,node[25],0,5969.2395,2829.6848,1.8950,14.3394,0.0321,2.6448,-21150123#3,-72.5612,2.5339,100.0000,default,16,rsu(173m),9,322,0.4420,173,2.0136,5,8,-72.5612,-89.5509,direct,0.1000,28.8000,-85.7186
209.1,node[25],0,5967.9769,2829.0003,1.8950,14.3632,0.2379,2.6448,-21150123#3,-67.6462,6.3312,100.0000,default,16,rsu(173m),10,358,0.8410,173,2.0163,7,12,-67.6462,-84.6359,direct,0.1000,28.8000,-85.7363
