timestamp,vehicle_id,rsu_id,x,y,z,speed,acceleration,heading_rad,road_id,rxPower_dbm,sinr_db,txPower_mw,txPowerSource,neighborCount,nearestRSU,packetsSent,packetsReceived,pdr,distance_to_rsu_m,signal_age_ms,cqi,mcs,rsrp_dbm,rsrq_db,connection_type,cbr,throughput_kbps,interference_dbm
71.7,node[9],1,6523.6801,2708.1611,1.8950,11.3301,113.3011,-2.0606,21154898#0,-80.5007,-2.7110,100.0000,default,14,rsu(558m),1,22,0.0544,558,3.5095,3,4,-80.5007,-97.4904,direct,0.0500,0.0245,-87.8825
71.8,node[9],1,6523.1490,2709.1572,1.8950,11.2857,-0.4441,-2.0606,21154898#0,-92.4184,-5.0000,100.0000,default,14,rsu(558m),2,44,0.0180,558,3.5110,2,2,-92.4184,-109.4081,direct,0.0500,0.0245,-87.8818
71.9,node[9],1,6522.6185,2710.1522,1.8950,11.2737,-0.1197,-2.0606,21154898#0,-86.7397,-5.0000,100.0000,default,14,rsu(558m),3,66,0.0180,558,3.5124,2,2,-86.7397,-103.7294,direct,0.0500,17.6000,-87.8812
72,node[9],1,6522.0877,2711.1477,1.8950,11.2796,0.0584,-2.0606,21154898#0,-81.4110,-2.9462,100.0000,default,14,rsu(558m),4,88,0.0487,558,3.5139,3,4,-81.4110,-98.4007,direct,0.0500,17.6000,-87.8805
72.1,node[9],1,6521.5576,2712.1420,1.8950,11.2660,-0.1362,-2.0606,21154898#0,-94.9232,-5.0000,100.0000,default,14,rsu(558m),5,110,0.0180,558,3.5154,2,2,-94.9232,-111.9129,direct,0.0500,17.6000,-87.8798
72.2,node[9],1,6521.0252,2713.1405,1.8950,11.3136,0.4764,-2.0606,21154898#0,-75.3375,1.7852,100.0000,default,14,rsu(558m),6,132,0.3527,558,3.5168,5,8,-75.3375,-92.3272,direct,0.0500,17.6000,-87.8792
72.3,node[9],1,6520.4948,2714.1353,1.8950,11.2713,-0.4232,-2.0606,21154898#0,-74.3040,3.7321,100.0000,default,14,rsu(558m),7,154,0.5905,558,3.5183,6,10,-74.3040,-91.2937,direct,0.0500,17.6000,-87.8785
72.4,node[9],1,6519.9630,2715.1328,1.8950,11.3015,0.3026,-2.0606,21154898#0,-89.3069,-5.0000,100.0000,default,14,rsu(558m),8,176,0.0180,558,3.5197,2,2,-89.3069,-106.2966,direct,0.0500,17.6000,-87.8778
72.5,node[9],1,6519.4320,2716.1286,1.8950,11.2829,-0.1864,-2.0606,21154898#0,-77.5871,-1.1651,100.0000,default,14,rsu(558m),9,198,0.1108,558,3.5212,3,4,-77.5871,-94.5768,direct,0.0500,17.6000,-87.8772
72.6,node[9],1,6518.9011,2717.1244,1.8950,11.2830,0.0008,-2.0606,21154898#0,-79.9370,-3.6921,100.0000,default,14,rsu(558m),10,220,0.0340,558,3.5097,2,2,-79.9370,-96.9267,direct,0.0500,17.6000,-87.8765
72.7,node[9],1,6518.3695,2718.1213,1.8950,11.2960,0.1303,-2.0606,21154898#0,-77.9161,-1.6572,100.0000,default,14,rsu(558m),11,242,0.0888,558,3.5111,3,4,-77.9161,-94.9058,direct,0.0500,17.6000,-87.8758
72.8,node[9],1,6517.8372,2719.1198,1.8950,11.3129,0.1690,-2.0606,21154898#0,-78.4581,-0.1159,100.0000,default,14,rsu(558m),12,264,0.1739,558,3.5126,4,6,-78.4581,-95.4478,direct,0.0500,17.6000,-87.8751
72.9,node[9],1,6517.3076,2720.1130,1.8950,11.2532,-0.5968,-2.0606,21154898#0,-74.2974,0.4394,100.0000,default,14,rsu(557m),13,286,0.2175,557,3.5140,4,6,-74.2974,-91.2871,direct,0.0500,17.6000,-87.8744
73,node[9],1,6516.7777,2721.1068,1.8950,11.2610,0.0778,-2.0606,21154898#0,-78.6685,-1.4482,100.0000,default,14,rsu(557m),14,308,0.0976,557,3.5155,3,4,-78.6685,-95.6582,direct,0.0500,17.6000,-87.8737
