timestamp,vehicle_id,rsu_id,x,y,z,speed,acceleration,heading_rad,road_id,rxPower_dbm,sinr_db,txPower_mw,txPowerSource,neighborCount,nearestRSU,packetsSent,packetsReceived,pdr,distance_to_rsu_m,signal_age_ms,cqi,mcs,rsrp_dbm,rsrq_db,connection_type,cbr,throughput_kbps,interference_dbm
26.2,node[2],1,7465.4118,1407.6061,1.8950,18.1822,181.8217,-0.3997,370517287#0,-78.6418,0.5375,100.0000,default,7,rsu(474m),1,9,0.2260,474,3.5178,4,6,-78.6418,-95.6315,direct,0.0500,0.0275,-88.0504
26.3,node[2],1,7467.0816,1408.3114,1.8950,18.1115,-0.7064,-0.3997,370517287#0,-80.7175,-4.9445,100.0000,default,7,rsu(475m),2,18,0.0185,475,3.5246,2,2,-80.7175,-97.7072,direct,0.0500,0.0275,-88.0510
26.4,node[2],1,7468.7498,1409.0161,1.8950,18.0949,-0.1661,-0.3997,370517287#0,-77.0881,0.8627,100.0000,default,7,rsu(477m),3,27,0.2557,477,3.5185,4,6,-77.0881,-94.0778,direct,0.0500,7.2000,-88.0515
26.5,node[2],1,7470.4227,1409.7227,1.8950,18.1460,0.5106,-0.3997,370517287#0,-76.3996,0.7526,100.0000,default,7,rsu(479m),4,36,0.2453,479,3.5254,4,6,-76.3996,-93.3893,direct,0.0500,7.2000,-88.0520
26.6,node[2],1,7472.0941,1410.4287,1.8950,18.1286,-0.1738,-0.3997,370517287#0,-74.2544,4.1853,100.0000,default,7,rsu(480m),5,45,0.6440,480,3.5193,6,10,-74.2544,-91.2441,direct,0.0500,7.2000,-88.0525
26.7,node[2],1,7473.7653,1411.1346,1.8950,18.1270,-0.0162,-0.3997,370517287#0,-71.8557,4.4887,100.0000,default,7,rsu(482m),6,54,0.6779,482,3.5261,6,10,-71.8557,-88.8454,direct,0.0500,7.2000,-88.0529
26.8,node[2],1,7475.4256,1411.8623,1.8950,18.1137,-0.1324,-0.4045,370517287#0,-82.5923,-5.0000,100.0000,default,7,rsu(483m),7,63,0.0180,483,3.5200,2,2,-82.5923,-99.5820,direct,0.0500,7.2000,-88.0533
26.9,node[2],1,7477.0812,1412.5906,1.8950,18.0723,-0.4139,-0.4098,370517287#0,-84.9945,-5.0000,100.0000,default,7,rsu(485m),8,72,0.0180,485,3.5268,2,2,-84.9945,-101.9842,direct,0.0500,7.2000,-88.0536
27,node[2],1,7478.7451,1413.3225,1.8950,18.1629,0.9050,-0.4144,370517287#0,-76.6451,-0.2838,100.0000,default,7,rsu(486m),9,81,0.1622,486,3.5206,4,6,-76.6451,-93.6348,direct,0.0500,7.2000,-88.0539
27.1,node[2],1,7480.4107,1414.0552,1.8950,18.1816,0.1871,-0.4144,370517287#0,-83.4858,-5.0000,100.0000,default,7,rsu(488m),10,90,0.0180,488,3.5145,2,2,-83.4858,-100.4755,direct,0.0500,7.2000,-88.0542
