timestamp,vehicle_id,rsu_id,x,y,z,speed,acceleration,heading_rad,road_id,rxPower_dbm,sinr_db,txPower_mw,txPowerSource,neighborCount,nearestRSU,packetsSent,packetsReceived,pdr,distance_to_rsu_m,signal_age_ms,cqi,mcs,rsrp_dbm,rsrq_db,connection_type,cbr,throughput_kbps,interference_dbm
45.7,node[5],7,6893.6132,4992.5553,1.8950,15.0707,150.7065,1.0623,21150230,-89.2986,-5.0000,100.0000,default,7,rsu(503m),1,7,0.0180,503,22.0594,2,2,-89.2986,-106.2883,direct,0.0000,0.0123,-88.3222
45.8,node[5],7,6894.3442,4991.2438,1.8950,15.0145,-0.5617,1.0623,21150230,-83.2180,-5.0000,100.0000,default,7,rsu(502m),2,14,0.0180,502,22.0696,2,2,-83.2180,-100.2077,direct,0.0000,0.0123,-88.3198
45.9,node[5],7,6895.0764,4989.9303,1.8950,15.0370,0.2249,1.0623,21150230,-78.6884,-2.4994,100.0000,default,7,rsu(501m),3,21,0.0601,501,22.0668,3,4,-78.6884,-95.6781,direct,0.0000,5.6000,-88.3174
46,node[5],7,6895.8091,4988.6159,1.8950,15.0480,0.1103,1.0623,21150230,-78.6601,0.4062,100.0000,default,7,rsu(499m),4,28,0.2147,499,22.0640,4,6,-78.6601,-95.6498,direct,0.0000,5.6000,-88.3150
46.1,node[5],7,6896.5377,4987.3087,1.8950,14.9654,-0.8258,1.0623,21150230,-83.7629,-5.0000,100.0000,default,7,rsu(498m),5,35,0.0180,498,22.0612,2,2,-83.7629,-100.7526,direct,0.0000,5.6000,-88.3126
46.2,node[5],7,6897.2705,4985.9943,1.8950,15.0484,0.8301,1.0623,21150230,-71.6665,6.6465,100.0000,default,7,rsu(496m),6,42,0.8610,496,22.0714,7,12,-71.6665,-88.6562,direct,0.0000,5.6000,-88.3102
46.3,node[5],7,6898.0039,4984.6785,1.8950,15.0636,0.1522,1.0623,21150230,-78.7151,-1.9267,100.0000,default,7,rsu(495m),7,49,0.0785,495,22.0686,3,4,-78.7151,-95.7048,direct,0.0000,5.6000,-88.3077
46.4,node[5],7,6898.7324,4983.3715,1.8950,14.9631,-1.0059,1.0623,21150230,-91.9105,-5.0000,100.0000,default,7,rsu(493m),8,56,0.0180,493,22.0658,2,2,-91.9105,-108.9002,direct,0.0000,5.6000,-88.3052
46.5,node[5],7,6899.4606,4982.0653,1.8950,14.9543,-0.0878,1.0623,21150230,-75.5279,-0.0898,100.0000,default,7,rsu(492m),9,63,0.1758,492,22.0630,4,6,-75.5279,-92.5176,direct,0.0000,5.6000,-88.3028
46.6,node[5],7,6900.1906,4980.7556,1.8950,14.9943,0.4004,1.0623,21150230,-75.0033,0.1560,100.0000,default,7,rsu(491m),10,70,0.1944,491,22.0602,4,6,-75.0033,-91.9930,direct,0.0000,5.6000,-88.3003
