timestamp,vehicle_id,rsu_id,x,y,z,speed,acceleration,heading_rad,road_id,rxPower_dbm,sinr_db,txPower_mw,txPowerSource,neighborCount,nearestRSU,packetsSent,packetsReceived,pdr,distance_to_rsu_m,signal_age_ms,cqi,mcs,rsrp_dbm,rsrq_db,connection_type,cbr,throughput_kbps,interference_dbm
149.7,node[19],0,4305.7581,2075.5838,1.8950,16.6297,166.2974,-0.4908,21160735#0,-80.4841,-2.6437,100.0000,default,9,rsu(651m),1,14,0.0562,651,2.0154,3,4,-80.4841,-97.4738,direct,0.0500,0.0075,-88.0067
149.8,node[19],0,4307.2226,2076.3665,1.8950,16.6052,-0.2459,-0.4908,21160735#0,-79.5245,-0.7260,100.0000,default,9,rsu(653m),2,28,0.1344,653,2.0139,4,6,-79.5245,-96.5142,direct,0.0500,0.0075,-88.0067
149.9,node[19],0,4308.6855,2077.1483,1.8950,16.5869,-0.1826,-0.4908,21160735#0,-77.9691,-1.4917,100.0000,default,9,rsu(654m),3,42,0.0957,654,2.0124,3,4,-77.9691,-94.9588,direct,0.0500,11.2000,-88.0066
150,node[19],0,4310.1436,2077.9275,1.8950,16.5320,-0.5495,-0.4908,21160735#0,-81.0737,-3.9915,100.0000,default,9,rsu(655m),4,56,0.0294,655,2.0239,2,2,-81.0737,-98.0634,direct,0.0500,11.2000,-88.0066
150.1,node[19],0,4311.6026,2078.7072,1.8950,16.5433,0.1138,-0.4908,21160735#0,-80.6842,-5.0000,100.0000,default,9,rsu(657m),5,70,0.0180,657,2.0225,2,2,-80.6842,-97.6739,direct,0.0500,11.2000,-88.0065
150.2,node[19],0,4313.0651,2079.4888,1.8950,16.5813,0.3796,-0.4908,21160735#0,-88.8574,-5.0000,100.0000,default,9,rsu(658m),6,84,0.0180,658,2.0211,2,2,-88.8574,-105.8471,direct,0.0500,11.2000,-88.0065
150.3,node[19],0,4314.5308,2080.2721,1.8950,16.6190,0.3769,-0.4908,21160735#0,-77.5811,-0.2479,100.0000,default,9,rsu(660m),7,98,0.1647,660,2.0197,4,6,-77.5811,-94.5708,direct,0.0500,11.2000,-88.0065
150.4,node[19],0,4315.9910,2081.0524,1.8950,16.5561,-0.6292,-0.4908,21160735#0,-83.4198,-5.0000,100.0000,default,9,rsu(661m),8,112,0.0180,661,2.0184,2,2,-83.4198,-100.4095,direct,0.0500,11.2000,-88.0065
150.5,node[19],0,4317.4520,2081.8332,1.8950,16.5652,0.0917,-0.4908,21160735#0,-80.7390,-2.4672,100.0000,default,9,rsu(662m),9,126,0.0610,662,2.0171,3,4,-80.7390,-97.7287,direct,0.0500,11.2000,-88.0065
150.6,node[19],0,4318.9090,2082.6118,1.8950,16.5194,-0.4580,-0.4908,21160735#0,-81.3144,-5.0000,100.0000,default,9,rsu(664m),10,140,0.0180,664,2.0158,2,2,-81.3144,-98.3041,direct,0.0500,11.2000,-88.0065
150.7,node[19],0,4320.3658,2083.3903,1.8950,16.5177,-0.0175,-0.4908,21160735#0,-87.2986,-5.0000,100.0000,default,9,rsu(665m),11,154,0.0180,665,2.0146,2,2,-87.2986,-104.2883,direct,0.0500,11.2000,-88.0065
150.8,node[19],0,4321.8267,2084.1711,1.8950,16.5643,0.4658,-0.4908,21160735#0,-82.0615,-3.2839,100.0000,default,9,rsu(666m),12,168,0.0414,666,2.0134,2,2,-82.0615,-99.0512,direct,0.0500,11.2000,-88.0067
150.9,node[19],0,4323.2887,2084.9524,1.8950,16.5768,0.1255,-0.4908,21160735#0,-81.8417,-5.0000,100.0000,default,9,rsu(668m),13,182,0.0180,668,2.0122,2,2,-81.8417,-98.8314,direct,0.0500,11.2000,-88.0069
151,node[19],0,4324.7496,2085.7331,1.8950,16.5641,-0.1273,-0.4908,21160735#0,-78.5314,0.8341,100.0000,default,9,rsu(669m),14,196,0.2529,669,2.0240,4,6,-78.5314,-95.5211,direct,0.0500,11.2000,-88.0071
151.1,node[19],0,4326.2143,2086.5159,1.8950,16.6070,0.4288,-0.4908,21160735#0,-78.6483,-0.8646,100.0000,default,9,rsu(671m),15,210,0.1265,671,2.0229,4,6,-78.6483,-95.6380,direct,0.0500,11.2000,-88.0073
151.2,node[19],0,4327.6713,2087.2945,1.8950,16.5199,-0.8710,-0.4908,21160735#0,-82.4787,-4.5546,100.0000,default,9,rsu(672m),16,224,0.0224,672,2.0218,2,2,-82.4787,-99.4684,direct,0.0500,11.2000,-88.0075
151.3,node[19],0,4329.1322,2088.0752,1.8950,16.5632,0.4334,-0.4908,21160735#0,-80.9835,-2.6127,100.0000,default,9,rsu(673m),17,238,0.0570,673,2.0208,3,4,-80.9835,-97.9732,direct,0.0500,11.2000,-88.0077
151.4,node[19],0,4330.5962,2088.8576,1.8950,16.5998,0.3655,-0.4908,21160735#0,-80.1849,-1.6789,100.0000,default,9,rsu(675m),18,252,0.0879,675,2.0198,3,4,-80.1849,-97.1746,direct,0.0500,11.2000,-88.0079
151.5,node[19],0,4332.0620,2089.6409,1.8950,16.6192,0.1948,-0.4908,21160735#0,-76.1324,-0.3432,100.0000,default,9,rsu(676m),19,266,0.1582,676,2.0188,4,6,-76.1324,-93.1221,direct,0.0500,11.2000,-88.0081
151.6,node[19],0,4333.5213,2090.4208,1.8950,16.5458,-0.7349,-0.4908,21160735#0,-87.1073,-5.0000,100.0000,default,9,rsu(678m),20,280,0.0180,678,2.0178,2,2,-87.1073,-104.0970,direct,0.0500,11.2000,-88.0084
151.7,node[19],0,4334.9797,2091.2002,1.8950,16.5357,-0.1005,-0.4908,21160735#0,-82.5992,-5.0000,100.0000,default,9,rsu(679m),21,294,0.0180,679,2.0169,2,2,-82.5992,-99.5889,direct,0.0500,11.2000,-88.0087
151.8,node[19],0,4336.4372,2091.9791,1.8950,16.5257,-0.0997,-0.4908,21160735#0,-87.7143,-5.0000,100.0000,default,9,rsu(680m),22,308,0.0180,680,2.0160,2,2,-87.7143,-104.7040,direct,0.0500,11.2000,-88.0089
151.9,node[19],0,4337.8967,2092.7590,1.8950,16.5483,0.2256,-0.4908,21160735#0,-83.8694,-5.0000,100.0000,default,9,rsu(682m),23,322,0.0180,682,2.0151,2,2,-83.8694,-100.8591,direct,0.0500,11.2000,-88.0092
152,node[19],0,4339.3592,2093.5406,1.8950,16.5818,0.3355,-0.4908,21160735#0,-85.6146,-5.0000,100.0000,default,9,rsu(683m),24,336,0.0180,683,2.0143,2,2,-85.6146,-102.6043,direct,0.0500,11.2000,-88.0095
152.1,node[19],0,4340.8222,2094.3225,1.8950,16.5881,0.0628,-0.4908,21160735#0,-82.0974,-5.0000,100.0000,default,9,rsu(685m),25,350,0.0180,685,2.0135,2,2,-82.0974,-99.0871,direct,0.0500,11.2000,-88.0098
152.2,node[19],0,4342.2850,2095.1042,1.8950,16.5854,-0.0272,-0.4908,21160735#0,-79.4733,-3.4662,100.0000,default,9,rsu(686m),26,364,0.0379,686,2.0127,2,2,-79.4733,-96.4630,direct,0.0500,11.2000,-88.0101
152.3,node[19],0,4343.7453,2095.8846,1.8950,16.5576,-0.2782,-0.4908,21160735#0,-80.8659,-4.8775,100.0000,default,9,rsu(687m),27,378,0.0191,687,2.0250,2,2,-80.8659,-97.8556,direct,0.0500,11.2000,-88.0104
152.4,node[19],0,4345.2081,2096.6663,1.8950,16.5855,0.2794,-0.4908,21160735#0,-82.9720,-5.0000,100.0000,default,9,rsu(689m),28,392,0.0180,689,2.0243,2,2,-82.9720,-99.9617,direct,0.0500,11.2000,-88.0108
152.5,node[19],0,4346.6652,2097.4450,1.8950,16.5213,-0.6423,-0.4908,21160735#0,-95.1694,-5.0000,100.0000,default,9,rsu(690m),29,406,0.0180,690,2.0236,2,2,-95.1694,-112.1591,direct,0.0500,11.2000,-88.0112
152.6,node[19],0,4348.1272,2098.2263,1.8950,16.5761,0.5485,-0.4908,21160735#0,-93.8678,-5.0000,100.0000,default,9,rsu(692m),30,420,0.0180,692,2.0230,2,2,-93.8678,-110.8575,direct,0.0500,11.2000,-88.0117
152.7,node[19],0,4349.5933,2099.0098,1.8950,16.6229,0.4675,-0.4908,21160735#0,-80.0109,-0.6919,100.0000,default,9,rsu(693m),31,434,0.1363,693,2.0224,4,6,-80.0109,-97.0006,direct,0.0500,11.2000,-88.0123
152.8,node[19],0,4351.0553,2099.7911,1.8950,16.5764,-0.4645,-0.4908,21160735#0,-81.3817,-5.0000,100.0000,default,9,rsu(694m),32,448,0.0180,694,2.0218,2,2,-81.3817,-98.3714,direct,0.0500,11.2000,-88.0129
152.9,node[19],0,4352.5216,2100.5747,1.8950,16.6251,0.4868,-0.4908,21160735#0,-77.8140,-0.9568,100.0000,default,9,rsu(696m),33,462,0.1215,696,2.0213,4,6,-77.8140,-94.8037,direct,0.0500,11.2000,-88.0135
153,node[19],0,4353.9803,2101.3543,1.8950,16.5394,-0.8577,-0.4908,21160735#0,-82.1558,-2.9103,100.0000,default,9,rsu(697m),34,476,0.0495,697,2.0208,3,4,-82.1558,-99.1455,direct,0.0500,11.2000,-88.0141
153.1,node[19],0,4355.4437,2102.1364,1.8950,16.5926,0.5324,-0.4908,21160735#0,-94.1237,-5.0000,100.0000,default,9,rsu(699m),35,490,0.0180,699,2.0204,2,2,-94.1237,-111.1134,direct,0.0500,11.2000,-88.0147
153.2,node[19],0,4356.9061,2102.9179,1.8950,16.5810,-0.1156,-0.4908,21160735#0,-86.3258,-5.0000,100.0000,default,9,rsu(700m),36,504,0.0180,700,2.0200,2,2,-86.3258,-103.3155,direct,0.0500,11.2000,-88.0153
